,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
0,Adair,2013,378584.26,8231.66,7588.0,704.0,9.277807063784923
1,Adams,2013,91286.24,1809.9,3973.0,442.0,11.12509438711301
2,Allamakee,2013,811512.37,17728.38,14242.0,1740.0,12.217385198708046
3,Appanoose,2013,780715.27,15546.19,12808.0,1924.0,15.021861336664585
4,Audubon,2013,162023.28,3785.7,6002.0,554.0,9.230256581139619
5,Benton,2013,687998.46,15055.11,25971.0,2159.0,8.313118478302723
6,Black Hawk,2013,15107130.74,277660.05,131468.0,21308.0,16.20774637174065
7,Boone,2013,1664919.58,35610.35,26310.0,2582.0,9.813759026985934
8,Bremer,2013,1761039.09,37036.9,24387.0,1655.0,6.786402591544674
9,Buchanan,2013,1294292.75,26779.24,20954.0,2036.0,9.716521905125513
10,Buena Vista,2013,1731553.39,33715.52,20350.0,2442.0,12.0
11,Butler,2013,242020.56,5941.47,14909.0,1442.0,9.672010195184118
12,Calhoun,2013,336587.03,7758.54,9952.0,1258.0,12.640675241157556
13,Carroll,2013,2173263.14,44294.62,20732.0,1954.0,9.425043411151842
14,Cass,2013,1058351.53,21825.27,13793.0,1545.0,11.201334010005075
15,Cedar,2013,474237.9,10619.35,18452.0,1461.0,7.91784088445697
16,Cerro Gordo,2013,5329229.12,111919.86,43932.0,5640.0,12.838022398251846
17,Cherokee,2013,756107.26,16307.89,12013.0,1123.0,9.348206110047448
18,Chickasaw,2013,356483.05,8540.68,12379.0,1252.0,10.113902576944826
19,Clarke,2013,551376.29,11345.89,9311.0,1238.0,13.296101385458062
20,Clay,2013,1463129.05,32781.6,16604.0,1443.0,8.690676945314381
21,Clayton,2013,544075.09,11063.46,17990.0,2207.0,12.26792662590328
22,Clinton,2013,3288669.49,66347.45,48896.0,6718.0,13.739365183246074
23,Crawford,2013,1202377.43,23823.78,17205.0,2668.0,15.507120023249055
24,Dallas,2013,4734861.59,75206.85,69526.0,4427.0,6.367402122946812
25,Davis,2013,93660.91,2231.86,8755.0,1820.0,20.788121073672187
26,Decatur,2013,168167.12,3313.56,8308.0,1476.0,17.76600866634569
27,Delaware,2013,929929.74,18901.03,17665.0,1452.0,8.219643362581376
28,Des Moines,2013,3107413.21,60497.28,40301.0,5453.0,13.530681620803454
29,Dickinson,2013,3682930.49,74432.5,16818.0,1278.0,7.59900107028184
30,Dubuque,2013,7850343.32,151477.45,94411.0,9891.0,10.476533454788107
31,Emmet,2013,660335.97,14659.01,10141.0,1186.0,11.695099102652597
32,Fayette,2013,1091413.95,24839.35,20822.0,2307.0,11.07962731726059
33,Floyd,2013,1017670.96,21611.69,16177.0,2004.0,12.38795821227669
34,Franklin,2013,464003.84,10007.95,10623.0,1164.0,10.957356678904263
35,Fremont,2013,25211.4,442.4881877,7291.0,727.0,9.971197366616376
36,Greene,2013,304800.34,6665.19,9255.0,1184.0,12.793084819016748
37,Grundy,2013,287964.31,6428.96,12416.0,856.0,6.894329896907218
38,Guthrie,2013,264970.17,5712.21,10843.0,1088.0,10.034123397583695
39,Hamilton,2013,824559.75,18068.62,15486.0,1869.0,12.06896551724138
40,Hancock,2013,263653.9,6588.62,11243.0,1150.0,10.228586676154054
41,Hardin,2013,1574701.54,34252.46,17453.0,1429.0,8.187704119635592
42,Harrison,2013,442719.23,9124.41,14729.0,1377.0,9.348903523660805
43,Henry,2013,1056372.11,20134.94,20188.0,3395.0,16.816920943134534
44,Howard,2013,736543.49,16213.08,9560.0,1087.0,11.370292887029288
45,Humboldt,2013,601800.35,13118.53,9776.0,972.0,9.942716857610474
46,Ida,2013,423016.51,8978.21,7099.0,992.0,13.973799126637553
47,Iowa,2013,1660767.69,34823.71,16323.0,1742.0,10.67205783250628
48,Jackson,2013,1181949.59,24956.32,19737.0,2047.0,10.3713836955971
49,Jasper,2013,1716299.27,36003.97,36710.0,4105.0,11.182239171887767
50,Jefferson,2013,790566.53,15642.21,16800.0,1895.0,11.279761904761903
51,Johnson,2013,15266328.93,263749.65,134034.0,22300.0,16.637569571899668
52,Jones,2013,1150084.83,25735.96,20637.0,1587.0,7.690071231283617
53,Keokuk,2013,142893.28,3313.52,10428.0,1348.0,12.926735711545836
54,Kossuth,2013,1661485.89,34974.89,15437.0,1315.0,8.518494526138499
55,Lee,2013,2977703.5,58969.72,35736.0,5262.0,14.724647414372061
56,Linn,2013,23224587.71,440499.61,213425.0,20222.0,9.474991214712428
57,Louisa,2013,232094.26,4744.33,11348.0,1363.0,12.01092703560099
58,Lucas,2013,345505.24,7163.41,8840.0,1469.0,16.61764705882353
59,Lyon,2013,636165.61,12437.83,11659.0,916.0,7.856591474397462
60,Madison,2013,590210.08,12599.35,15606.0,1359.0,8.708189158016147
61,Mahaska,2013,916465.9,18516.72,22428.0,3462.0,15.436062065275548
62,Marion,2013,1858281.08,36822.82,33318.0,2923.0,8.773035596374331
63,Marshall,2013,2686227.02,52652.61,40800.0,4810.0,11.78921568627451
64,Mills,2013,446688.44,9626.21,14983.0,1026.0,6.847760795568311
65,Mitchell,2013,446790.1,9771.2,10739.0,746.0,6.9466430766365574
66,Monona,2013,519200.82,10525.16,9208.0,806.0,8.753258036490008
67,Monroe,2013,272537.59,5476.31,8010.0,924.0,11.535580524344569
68,Montgomery,2013,541214.47,11680.8,10625.0,1670.0,15.717647058823529
69,Muscatine,2013,2817560.97,54945.12,42798.0,6049.0,14.133838029814475
70,O'Brien,2013,1198222.55,26279.39,14249.0,1568.0,11.00428100217559
71,Osceola,2013,220987.87,4915.14,6335.0,536.0,8.460931333859511
72,Page,2013,1148726.23,22053.18,15838.0,2038.0,12.867786336658671
73,Palo Alto,2013,668744.71,14247.31,9352.0,824.0,8.810949529512405
74,Plymouth,2013,1504671.73,30213.87,24923.0,1571.0,6.303414516711472
75,Pocahontas,2013,339550.61,8102.31,7243.0,1002.0,13.834046665746238
76,Polk,2013,56057048.32,990043.91,438307.0,50853.0,11.602141877724971
77,Pottawattamie,2013,9138901.33,168666.16,92962.0,12468.0,13.411931757062025
78,Poweshiek,2013,1338820.89,26311.43,18804.0,2184.0,11.614550095724313
79,Ringgold,2013,141162.23,2958.56,5107.0,651.0,12.74720971215978
80,Sac,2013,511411.26,11400.83,10227.0,868.0,8.487337440109513
81,Scott,2013,18384930.01,331797.19,167080.0,21446.0,12.835767297103185
82,Shelby,2013,722370.59,14505.16,12088.0,1274.0,10.539377895433487
83,Sioux,2013,1477890.63,29947.56,34050.0,2592.0,7.612334801762113
84,Story,2013,7910476.99,151856.93,90750.0,17250.0,19.008264462809922
85,Tama,2013,556036.88,11860.24,17661.0,1969.0,11.148859068002944
86,Taylor,2013,101833.15,2158.43,6256.0,884.0,14.130434782608695
87,Union,2013,953472.71,19469.78,12547.0,1974.0,15.732844504662467
88,Van Buren,2013,185716.51,3596.09,7517.0,1224.0,16.283091658906482
89,Wapello,2013,2495451.02,48365.56,35469.0,6582.0,18.55704981815106
90,Warren,2013,1943461.9,40046.89,46631.0,3258.0,6.986768458750618
91,Washington,2013,1280723.01,23996.07,21834.0,2089.0,9.567646789411011
92,Wayne,2013,85065.15,1879.52,6382.0,774.0,12.127859605139456
93,Webster,2013,3085081.36,61340.05,37626.0,5574.0,14.814224206665607
94,Winnebago,2013,665467.71,14775.47,10732.0,1162.0,10.827431979127843
95,Winneshiek,2013,1304110.2,26603.97,21038.0,1568.0,7.4531799600722515
96,Woodbury,2013,8720322.41,163224.13,102155.0,15532.0,15.204346336449511
97,Worth,2013,216661.51,4660.98,7562.0,856.0,11.31975667812748
98,Wright,2013,606333.07,13281.59,13092.0,1418.0,10.831041857622976
